"","country","prov","dataset.id","distance_m","within_distance_type","pair_id","site_role","origin","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num"
"1","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",90.7702877867262,"within_100m","BEL_005_MZB_LO_117__BEL_005_MZB_LO_118","i","merge of Ellen's data and second data call","BEVL_VMM_366600","BEL_005_MZB_LO_117","",50.7234364,4.2866238,1994,2021,28,10
"2","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",90.7702877867262,"within_100m","BEL_005_MZB_LO_117__BEL_005_MZB_LO_118","j","merge of Ellen's data and second data call","BEVL_VMM_366700","BEL_005_MZB_LO_118","",50.7234354,4.2852926,1994,2021,28,11
"3","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",71.3860550474934,"within_100m","BEL_005_MZB_LO_126__BEL_005_MZB_LO_128","i","merge of Ellen's data and second data call","BEVL_VMM_411400","BEL_005_MZB_LO_126","GROTEBEEK - WINTERBEEK",51.0106218,5.0460201,2009,2023,15,8
"4","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",71.3860550474934,"within_100m","BEL_005_MZB_LO_126__BEL_005_MZB_LO_128","j","merge of Ellen's data and second data call","BEVL_VMM_413460","BEL_005_MZB_LO_128","KLEINEBEEK - RIJSELSESTRAATVLIET",51.0100082,5.0464245,2006,2021,16,6
"5","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",29.0534572319955,"within_100m","BEL_005_MZB_LO_249__BEL_005_MZB_LO_250","i","merge of Ellen's data and second data call","BEVL_VMM_89200","BEL_005_MZB_LO_249","",51.2753802,5.3460514,1992,2004,13,10
"6","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",29.0534572319955,"within_100m","BEL_005_MZB_LO_249__BEL_005_MZB_LO_250","j","merge of Ellen's data and second data call","BEVL_VMM_89500","BEL_005_MZB_LO_250","",51.2754487,5.3464685,1989,2003,15,13
"7","Switzerland","Christopher Robinson","CHE_076_MZB_LO",97.6697016051867,"within_100m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_2","i","new data call","1","CHE_076_MZB_LO_1","Grond",46.7292538603,10.126757835,2001,2022,22,22
"8","Switzerland","Christopher Robinson","CHE_076_MZB_LO",97.6697016051867,"within_100m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_2","j","new data call","2","CHE_076_MZB_LO_2","Mezza-Gluna",46.7299353673,10.1276295696,2001,2022,22,22
"9","Czech Republic","state enterprises Povodí Moravy, Ohře, Odry, Labe, Vltavy (via Peter Paril)","CZE_003_MZB_LO",82.0308275230802,"within_100m","CZE_003_MZB_LO_32__CZE_003_MZB_LO_33","i","second data call; new data","PLA_110","CZE_003_MZB_LO_32","Úpa",50.4117045751851,16.0561707462489,2007,2019,13,5
"10","Czech Republic","state enterprises Povodí Moravy, Ohře, Odry, Labe, Vltavy (via Peter Paril)","CZE_003_MZB_LO",82.0308275230802,"within_100m","CZE_003_MZB_LO_32__CZE_003_MZB_LO_33","j","second data call; new data","PLA_111","CZE_003_MZB_LO_33","Olešnice (do Úpy)",50.4110008477024,16.0566348854085,2007,2019,13,5
"11","Czech Republic","state enterprises Povodí Moravy, Ohře, Odry, Labe, Vltavy (via Peter Paril)","CZE_003_MZB_LO",63.3937288176208,"within_100m","CZE_003_MZB_LO_77__CZE_003_MZB_LO_8","i","second data call; new data","PLA_1010","CZE_003_MZB_LO_8","Jizera",50.6334099496337,15.3005435224428,2007,2019,13,6
"12","Czech Republic","state enterprises Povodí Moravy, Ohře, Odry, Labe, Vltavy (via Peter Paril)","CZE_003_MZB_LO",63.3937288176208,"within_100m","CZE_003_MZB_LO_77__CZE_003_MZB_LO_8","j","second data call; new data","PLA_24","CZE_003_MZB_LO_77","Kamenice",50.6339786812071,15.3002957405797,2006,2019,14,7
"13","Czech Republic","state enterprises Povodí Moravy, Ohře, Odry, Labe, Vltavy (via Peter Paril)","CZE_003_MZB_LO",73.5268201781857,"within_100m","CZE_003_MZB_LO_174__CZE_003_MZB_LO_258","i","second data call; new data","PMO_507-023","CZE_003_MZB_LO_174","Tištínka",49.3245557710158,17.1488999443427,2002,2020,19,9
"14","Czech Republic","state enterprises Povodí Moravy, Ohře, Odry, Labe, Vltavy (via Peter Paril)","CZE_003_MZB_LO",73.5268201781857,"within_100m","CZE_003_MZB_LO_174__CZE_003_MZB_LO_258","j","second data call; new data","PMO_YPPHa019","CZE_003_MZB_LO_258","Haná",49.3248332155817,17.1479427451333,2008,2020,13,5
"15","England","John Francis Murphy","ENG_041_MZB_LO",51.0660346234644,"within_100m","ENG_041_MZB_LO_3569__ENG_041_MZB_LO_3587","i","first call; data Ellen used","67369","ENG_041_MZB_LO_3569","Yarrow US Big Lodge Water",53.640843,-2.6178187,1994,2014,21,18
"16","England","John Francis Murphy","ENG_041_MZB_LO",51.0660346234644,"within_100m","ENG_041_MZB_LO_3569__ENG_041_MZB_LO_3587","j","first call; data Ellen used","68310","ENG_041_MZB_LO_3587","Yarrow US Big Lodge Water",53.641254,-2.618218,1994,2013,20,19
"17","England","James Sinclair","ENG_062_MZB_LO",63.8037687906586,"within_100m","ENG_062_MZB_LO_188__ENG_062_MZB_LO_68","i","second data call; new data","254","ENG_062_MZB_LO_68","RYBURN",53.6654607202,-1.9497777927,2002,2019,18,17
"18","England","James Sinclair","ENG_062_MZB_LO",63.8037687906586,"within_100m","ENG_062_MZB_LO_188__ENG_062_MZB_LO_68","j","second data call; new data","1170","ENG_062_MZB_LO_188","BOOTH DEAN CLOUGH",53.6656041265,-1.9488090495,2012,2023,12,11
"19","England","James Sinclair","ENG_062_MZB_LO",84.6918493781788,"within_100m","ENG_062_MZB_LO_207__ENG_062_MZB_LO_36","i","second data call; new data","135","ENG_062_MZB_LO_36","DRONE",53.2710982983,-1.4423121481,2002,2018,17,5
"20","England","James Sinclair","ENG_062_MZB_LO",84.6918493781788,"within_100m","ENG_062_MZB_LO_207__ENG_062_MZB_LO_36","j","second data call; new data","1282","ENG_062_MZB_LO_207","BARLOW BROOK",53.2703542309,-1.4427416894,2002,2014,13,5
"21","England","James Sinclair","ENG_062_MZB_LO",22.4983524091366,"within_100m","ENG_062_MZB_LO_235__ENG_062_MZB_LO_246","i","second data call; new data","1366","ENG_062_MZB_LO_235","BRADFORD BECK",53.7931156974,-1.7608810274,2003,2023,21,6
