"","country","prov","dataset.id","distance_m","within_distance_type","pair_id","site_role","origin","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num"
"20","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",755.781128164404,"within_100m_to_1000m","BEL_005_MZB_LO_101__BEL_005_MZB_LO_102","j","merge of Ellen's data and second data call","BEVL_VMM_309000","BEL_005_MZB_LO_102","DESSELSE NEET",51.2548321,5.0863727,1989,2023,35,16
"21","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",810.6877910421,"within_100m_to_1000m","BEL_005_MZB_LO_102__BEL_005_MZB_LO_103","i","merge of Ellen's data and second data call","BEVL_VMM_309000","BEL_005_MZB_LO_102","DESSELSE NEET",51.2548321,5.0863727,1989,2023,35,16
"22","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",810.6877910421,"within_100m_to_1000m","BEL_005_MZB_LO_102__BEL_005_MZB_LO_103","j","merge of Ellen's data and second data call","BEVL_VMM_310000","BEL_005_MZB_LO_103","DESSELSE NEET",51.2610922,5.093088,1989,2017,29,13
"23","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",509.185993166252,"within_100m_to_1000m","BEL_005_MZB_LO_104__BEL_005_MZB_LO_73","i","merge of Ellen's data and second data call","BEVL_VMM_278200","BEL_005_MZB_LO_73","KLEINE NETE L1",51.2270532,5.1145335,1992,2017,26,10
"24","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",509.185993166252,"within_100m_to_1000m","BEL_005_MZB_LO_104__BEL_005_MZB_LO_73","j","merge of Ellen's data and second data call","BEVL_VMM_312000","BEL_005_MZB_LO_104","",51.2317682,5.1137642,1989,2017,29,13
"25","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",744.119609405082,"within_100m_to_1000m","BEL_005_MZB_LO_106__BEL_005_MZB_LO_107","i","merge of Ellen's data and second data call","BEVL_VMM_317000","BEL_005_MZB_LO_106","WIMP",51.1155494,4.7981173,1989,2021,33,18
"26","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",744.119609405082,"within_100m_to_1000m","BEL_005_MZB_LO_106__BEL_005_MZB_LO_107","j","merge of Ellen's data and second data call","BEVL_VMM_318000","BEL_005_MZB_LO_107","WIMP",51.1113553,4.8068752,1989,2021,33,19
"27","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",900.436309098082,"within_100m_to_1000m","BEL_005_MZB_LO_110__BEL_005_MZB_LO_111","i","merge of Ellen's data and second data call","BEVL_VMM_328600","BEL_005_MZB_LO_110","SCHERPENBERGLOOP",51.1394641,5.000794,1989,2022,34,12
"28","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",900.436309098082,"within_100m_to_1000m","BEL_005_MZB_LO_110__BEL_005_MZB_LO_111","j","merge of Ellen's data and second data call","BEVL_VMM_329000","BEL_005_MZB_LO_111","MOL NEET",51.1476372,5.0037487,1989,2020,32,20
"29","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",743.32397299359,"within_100m_to_1000m","BEL_005_MZB_LO_120__BEL_005_MZB_LO_124","i","merge of Ellen's data and second data call","BEVL_VMM_390000","BEL_005_MZB_LO_120","DEMER VII",50.9699646,4.7186926,1991,2023,33,24
