countrycode,country,3 letter Code,
116000000,Austria,AUT,
121000000,Belgium,BEL,
106000000,Bulgaria,BGR,
122000000,Croatia,HRV,
102000000,Cyprus,CYP,
112000000,Czech Republic,CZE,
107000000,Denmark,DNK,
109000000,England,ENG,
101000000,Estonia,EST,
119000000,Finland,FIN,
100000000,France,FRA,
108000000,Germany,GER,
123000000,Greece,GRC,
114000000,Hungary,HUN,
110000000,Ireland,IRL,
113000000,Italy,ITA,
120000000,Latvia,LVA,
124000000,Lithuania,LTU,
105000000,Luxembourg,LUX,
117000000,Netherlands,NLD,
111000000,Norway,NOR,
125000000,Poland,POL,
115000000,Portugal,PRT,
126000000,Romania,ROU,
127000000,Scotland,SCO,
,Slovakia,SVK,
103000000,Spain,ESP,
104000000,Sweden,SWE,
118000000,Switzerland,CHE,
128000000,Wales,WAL,
