"","group","unique.id","org.site","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","origin","country","prov","dataset.id","distance_m","members","within_distance_type","n_in_river","max_yr_ln","n_max_ln","max_yr_num_tied","n_tied","site_sorting","tiebreaker_state","final_state"
"1",1,"BEL_005_MZB_LO_117","BEVL_VMM_366600","",50.7234364,4.2866238,1994,2021,28,10,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",0,"c(""BEL_005_MZB_LO_117"", ""BEL_005_MZB_LO_118"")","within_100m",2,28,2,11,1,"remove","remove","remove"
"2",5,"BEL_005_MZB_LO_249","BEVL_VMM_89200","",51.2753802,5.3460514,1992,2004,13,10,"merge of Ellen's data and second data call","Belgium","Marie Anne Eurie Forio","BEL_005_MZB_LO",0,"c(""BEL_005_MZB_LO_249"", ""BEL_005_MZB_LO_250"")","within_100m",2,15,1,13,1,"remove","remove","remove"
"3",1,"ENG_041_MZB_LO_3587","68310","Yarrow US Big Lodge Water",53.641254,-2.618218,1994,2013,20,19,"first call; data Ellen used","England","John Francis Murphy","ENG_041_MZB_LO",51.0660346234644,"c(""ENG_041_MZB_LO_3569"", ""ENG_041_MZB_LO_3587"")","within_100m",2,21,1,18,1,"remove","remove","remove"
"4",9,"ENG_062_MZB_LO_3377","157240","ASH (LEE)",51.8484484273,0.074778703,2011,2023,13,9,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",33.5295639012854,"c(""ENG_062_MZB_LO_3377"", ""ENG_062_MZB_LO_879"")","within_100m",2,23,1,22,1,"remove","remove","remove"
"5",11,"ENG_062_MZB_LO_1113","36041","LODDON",51.2917600123,-1.025616115,2004,2023,20,20,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",71.7489072982511,"c(""ENG_062_MZB_LO_1007"", ""ENG_062_MZB_LO_1113"")","within_100m",1,20,1,20,1,"keep","keep","remove"
"6",19,"ENG_062_MZB_LO_1351","43301","TEST",50.9589829322,-1.4963326136,2002,2011,10,6,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",0,"c(""ENG_062_MZB_LO_1351"", ""ENG_062_MZB_LO_3385"")","within_100m",2,13,1,10,1,"remove","remove","remove"
"7",26,"ENG_062_MZB_LO_2104","53803","ASHOP",53.4019908535,-1.7887769646,2002,2024,23,5,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",65.8672381985281,"c(""ENG_062_MZB_LO_1565"", ""ENG_062_MZB_LO_2104"")","within_100m",1,23,1,5,1,"keep","keep","remove"
"8",30,"ENG_062_MZB_LO_1873","51578","DOVE (DOVE(UPPER))",53.1352040476,-1.8208603218,2002,2012,11,9,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",1.93352797717779,"c(""ENG_062_MZB_LO_1855"", ""ENG_062_MZB_LO_1873"")","within_100m",2,14,1,10,1,"remove","remove","remove"
"9",52,"ENG_062_MZB_LO_2995","68108","BOLLIN",53.2411947777,-2.1094755835,2002,2022,21,18,"second data call; new data","England","James Sinclair","ENG_062_MZB_LO",19.7199201714124,"c(""ENG_062_MZB_LO_2949"", ""ENG_062_MZB_LO_2995"")","within_100m",1,21,1,18,1,"keep","keep","remove"
"10",1,"ESP_034_MZB_LO_107","103000547","Bidasoa",43.2940308,-1.7294226,1997,2019,23,23,"first call; data Ellen used","Spain","Aitor Larrañaga","ESP_034_MZB_LO",31.8903319070977,"c(""ESP_034_MZB_LO_107"", ""ESP_034_MZB_LO_21"", ""ESP_034_MZB_LO_363"", ""ESP_034_MZB_LO_6"")","within_100m",2,25,1,25,1,"remove","remove","remove"
