"unique.id","tiebreaker_state"
"CHE_040_MZB_LO_3","keep"
"CHE_040_MZB_LO_10","keep"
"CHE_076_MZB_LO_2","keep"
"CHE_076_MZB_LO_3","remove"
"CHE_076_MZB_LO_4","keep"
"CHE_076_MZB_LO_5","keep"
"CHE_076_MZB_LO_6","remove"
"CHE_076_MZB_LO_7","remove"
"CHE_076_MZB_LO_8","remove"
"CHE_076_MZB_LO_9","remove"
"DNK_011_MZB_LO_144","keep"
"DNK_011_MZB_LO_145","keep"
"ENG_041_MZB_LO_3496","keep"
"ENG_041_MZB_LO_3513","remove"
"ENG_062_MZB_LO_1211","remove"
"ENG_062_MZB_LO_1382","remove"
"ENG_062_MZB_LO_285","keep"
"ENG_062_MZB_LO_286","remove"
"ENG_062_MZB_LO_325","remove"
"ENG_062_MZB_LO_456","keep"
"ENG_062_MZB_LO_1547","keep"
"ENG_062_MZB_LO_1926","remove"
"ENG_062_MZB_LO_1554","keep"
"ENG_062_MZB_LO_1922","remove"
"ENG_062_MZB_LO_1556","keep"
"ENG_062_MZB_LO_3246","remove"
"ENG_062_MZB_LO_1580","keep"
"ENG_062_MZB_LO_2103","remove"
"ENG_062_MZB_LO_2515","keep"
"ENG_062_MZB_LO_2516","remove"
"ENG_062_MZB_LO_2731","keep"
"ENG_062_MZB_LO_3053","remove"
"ENG_062_MZB_LO_3021","keep"
"ENG_062_MZB_LO_3416","remove"
"ENG_062_MZB_LO_3217","remove"
"ENG_062_MZB_LO_3225","keep"
"ENG_062_MZB_LO_3269","keep"
"ENG_062_MZB_LO_3270","remove"
"ENG_062_MZB_LO_3300","keep"
"ENG_062_MZB_LO_3309","keep"
"ENG_062_MZB_LO_3310","remove"
"ENG_062_MZB_LO_3324","keep"
"ENG_062_MZB_LO_3343","remove"
"ENG_062_MZB_LO_3325","remove"
"ENG_062_MZB_LO_3326","keep"
"ENG_062_MZB_LO_3327","remove"
"ENG_062_MZB_LO_3328","keep"
"ENG_062_MZB_LO_3358","keep"
"ENG_062_MZB_LO_3359","remove"
"ENG_062_MZB_LO_3360","keep"
"ESP_034_MZB_LO_11","keep"
"ESP_034_MZB_LO_38","remove"
"ESP_060_MZB_LO_20","keep"
"ESP_060_MZB_LO_21","remove"
"FIN_004_MZB_LO_169","remove"
"FIN_004_MZB_LO_170","remove"
"FIN_004_MZB_LO_171","keep"
"FRA_015_MZB_LO_1","remove"
"FRA_015_MZB_LO_2","keep"
"GER_017_MZB_LO_3","keep"
"GER_017_MZB_LO_4","remove"
"GER_018_MZB_LO_21","keep"
"GER_018_MZB_LO_129","remove"
"GER_018_MZB_LO_25","keep"
"GER_018_MZB_LO_139","remove"
"GER_047_MZB_LO_2","keep"
"GER_047_MZB_LO_22","remove"
