"unique.id","final_state"
"ENG_062_MZB_LO_1113","remove"
"ENG_062_MZB_LO_1231","remove"
"ENG_062_MZB_LO_2104","remove"
"ENG_062_MZB_LO_2995","remove"
"ENG_062_MZB_LO_3206","remove"
"ENG_062_MZB_LO_3246","remove"
"ESP_034_MZB_LO_33","remove"
"ESP_034_MZB_LO_366","keep"
"GER_071_MZB_LO_10","keep"
"IRL_051_MZB_LO_643","remove"
"NOR_054_MZB_LO_45","remove"
"NOR_054_MZB_LO_47","remove"
"NOR_054_MZB_LO_48","remove"
