"site_id","sgn_id","sample_id","year","month","day","AMPHINEMURA SP.","ANCYLUS FLUVIATILIS","BAETIS SP.","BEZZIA SP.","BLEPHARICERIDAE GEN. SP.","BRACHYPTERA SETICORNIS","BULGAROPERLA SP.","CAENIS SP.","CAPNIA SP.","CHIRONOMIDAE GEN. SP.","DICRANOTA SP.","DUGESIA GONOCEPHALA","ELMIDAE GEN. SP. AD.","EPHEMERA DANICA","EPHEMERELLA MUCRONATA","GAMMARUS BALCANICUS","HABROLEPTOIDES CONFUSA","HEPTAGENIIDAE GEN. SP.","HYDRAENA SP. AD.","HYDROPHILIDAE GEN. SP. AD.","HYDROPSYCHE SP.","ISOPERLA SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","NEMOURA SP.","ODONTOCERUM ALBICORNE","ODONTOCERUM HELLENICUM","OLIGOCHAETA GEN. SP.","PERLIDAE GEN. SP.","PERLODES SP.","PROSIMULIUM TOMOSVARYI","PROTONEMURA SP.","RHYACOPHILA SP.","SERICOSTOMATIDAE GEN. SP.","SERRATELLA IGNITA","SIALIS SP.","SIMULIUM ARGYREATUM","TABANUS SP."
106000006,"BGR_007_MZB_LO_9","106000006_04.05.1983",1983,"5",4,0,0,20,0,0,8,0,0,0,6,0,4,0,1,3,0,0,24,0,0,9,2,10,0,0,2,0,0,18,0,0,0,0,0,0,0,1,0,0
106000006,"BGR_007_MZB_LO_9","106000006_17.06.1985",1985,"6",17,0,0,101,0,0,0,0,0,0,0,0,1,0,16,0,0,0,3,0,0,4,0,0,11,0,0,0,0,16,6,0,0,0,18,0,12,0,4,0
106000006,"BGR_007_MZB_LO_9","106000006_03.08.1986",1986,"8",3,0,1,160,1,11,0,0,2,0,100,0,3,4,20,0,0,0,6,3,0,27,0,1,8,0,0,1,0,116,1,0,0,0,11,7,33,0,157,1
106000006,"BGR_007_MZB_LO_9","106000006_08.08.1987",1987,"8",8,0,2,92,2,0,0,2,7,0,187,2,1,2,5,0,0,0,7,1,0,13,0,0,3,6,0,0,2,43,0,1,0,0,10,3,5,0,2,0
106000006,"BGR_007_MZB_LO_9","106000006_19.08.1988",1988,"8",19,11,14,97,0,0,0,0,0,36,0,0,29,8,15,0,3,1,534,0,0,0,2,58,0,0,0,0,0,14,8,0,0,1,0,0,0,0,0,0
106000006,"BGR_007_MZB_LO_9","106000006_11.07.1989",1989,"7",11,0,2,130,1,10,0,0,0,0,45,0,8,1,20,0,2,1,11,1,3,5,0,0,11,1,0,0,4,23,5,0,0,0,12,4,30,0,3,0
106000006,"BGR_007_MZB_LO_9","106000006_18.05.1990",1990,"5",18,50,1,155,0,2,1,0,0,0,180,0,35,13,4,8,1,1,37,0,0,25,7,7,145,0,0,0,5,155,6,0,5,0,50,0,0,0,0,0
106000006,"BGR_007_MZB_LO_9","106000006_06.05.1991",1991,"5",6,0,0,15,0,0,3,0,0,0,71,0,5,0,0,0,0,0,2,0,0,1,0,0,23,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
