"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",1,"1585","ENG_062_MZB_LO_283","EWDEN BECK","53.45671241","-1.562836287",2002,2018,17,14,0
"England","John Francis Murphy","first call, data Ellen used","ENG_041_MZB_LO",1,"1585","ENG_041_MZB_LO_3757","Ewden Beck from Source to River Don","53.456695","-1.5628349",1996,2018,23,20,1.87513479513888
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",2,"33751","ENG_062_MZB_LO_867","VER","51.78882884","-0.387371112",2002,2023,22,19,0
"England","Judy England","first call, data Ellen used","ENG_042_MZB_LO",2,"33751","ENG_042_MZB_LO_22","VER","51.788822","-0.387395",2008,2017,10,10,1.75332904634151
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",3,"81318","ENG_062_MZB_LO_3182","MIMRAM","51.8433258","-0.24462415",2002,2023,22,21,0
"England","Judy England","first call, data Ellen used","ENG_042_MZB_LO",3,"81318","ENG_042_MZB_LO_16","MIMRAM","51.843319","-0.244648",2005,2017,13,13,1.74752134585404
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",4,"36178","ENG_062_MZB_LO_1146","CRANLEIGH WATERS","51.1186668","-0.473281432",2002,2024,23,23,0
"England","John Francis Murphy","first call, data Ellen used","ENG_041_MZB_LO",4,"36178","ENG_041_MZB_LO_3482","Cranleigh Waters","51.118671","-0.47330515",1995,2018,24,24,1.66589115310039
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",5,"43197","ENG_062_MZB_LO_1335","LITTLE STOUR (SO)","51.27852562","1.172957225",2002,2018,17,15,0
"England","John Francis Murphy","first call, data Ellen used","ENG_041_MZB_LO",5,"43197","ENG_041_MZB_LO_3530","Nailbourne and Little Stour","51.278521","1.1729283",1994,2018,25,22,2.01116811608098
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",6,"65904","ENG_062_MZB_LO_2861","ETHEROW","53.46931799","-1.970523256",2002,2021,20,20,0
"England","John Francis Murphy","first call, data Ellen used","ENG_041_MZB_LO",6,"65904","ENG_041_MZB_LO_3554","Etherow (Woodhead Res. to Glossop Bk.)","53.469301","-1.9705258",1995,2018,24,23,1.83513724054846
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",7,"34171","ENG_062_MZB_LO_929","MIMRAM","51.84760751","-0.248348569",2002,2023,22,22,0
"England","John Francis Murphy","first call, data Ellen used","ENG_041_MZB_LO",7,"34171","ENG_041_MZB_LO_3464","Mimram (Codicote Bottom to Lee)","51.847601","-0.24837229",1994,2018,25,24,1.72673432208787
"England","Judy England","first call, data Ellen used","ENG_042_MZB_LO",7,"34171","ENG_042_MZB_LO_14","MIMRAM","51.847601","-0.248372",2002,2017,16,16,1.709106783689
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",8,"51052","ENG_062_MZB_LO_1814","SEVERN","52.74314587","-2.789875005",2004,2013,10,10,0
"England","John Francis Murphy","first call, data Ellen used","ENG_041_MZB_LO",8,"51052","ENG_041_MZB_LO_3509","Severn - conf Bele Bk to conf Sundorne Bk","52.743131","-2.7898771",1994,2013,20,18,1.60459408544268
"England","John Francis Murphy","first call, data Ellen used","ENG_041_MZB_LO",9,"67595","ENG_041_MZB_LO_3571","Etherow (Woodhead Res. to Glossop Bk.)","53.465304","-1.9805152",1997,2018,22,19,0
"England","James Sinclair","second data call, new data","ENG_062_MZB_LO",9,"67595","ENG_062_MZB_LO_2939","ETHEROW","53.4654549688","-1.9804372195",2002,2023,22,18,16.9958392776845
