site,sample_id,country,river,latitude,longitude,year,month,day,eqr,eqc
1,1_592012,greece,Tripotamos,40.53310984,22.19779814,2012,9,5,0.667,3
1,1_1542013,greece,Tripotamos,40.53310984,22.19779814,2013,4,15,0.778,2
1,1_372013,greece,Tripotamos,40.53310984,22.19779814,2013,7,3,0.667,3
1,1_842014,greece,Tripotamos,40.53310984,22.19779814,2014,4,8,0.667,3
1,1_3072014,greece,Tripotamos,40.53310984,22.19779814,2014,7,30,0.778,2
1,1_2342015,greece,Tripotamos,40.53310984,22.19779814,2015,4,23,0.667,3
1,1_2582015,greece,Tripotamos,40.53310984,22.19779814,2015,8,25,0.667,3
1,1_252018,greece,Tripotamos,40.53310984,22.19779814,2018,5,2,0.56,3
1,1_1792018,greece,Tripotamos,40.53310984,22.19779814,2018,9,17,1,1
1,1_1252019,greece,Tripotamos,40.53310984,22.19779814,2019,5,12,0.89,2
1,1_292020,greece,Tripotamos,40.53310984,22.19779814,2020,9,2,0.78,2
1,1_1552021,greece,Tripotamos,40.53310984,22.19779814,2021,5,15,0.67,3
1,1_3082021,greece,Tripotamos,40.53310984,22.19779814,2021,8,30,0.67,3
1,1_1652022,greece,Tripotamos,40.53310984,22.19779814,2022,5,16,0.67,3
1,1_2982022,greece,Tripotamos,40.53310984,22.19779814,2022,8,29,0.56,3
1,1_1352023,greece,Tripotamos,40.53310984,22.19779814,2023,5,13,0.67,3
1,1_2492023,greece,Tripotamos,40.53310984,22.19779814,2023,9,24,0.666666667,3
2,2_372012,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2012,7,3,0.556,3
2,2_1342013,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2013,4,13,0.667,3
2,2_2672013,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2013,7,26,0.889,2
2,2_1442014,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2014,4,14,0.889,2
2,2_1772014,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2014,7,17,0.667,3
2,2_3132015,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2015,3,31,0.889,2
2,2_372015,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2015,7,3,0.667,3
2,2_2542018,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2018,4,25,0.78,2
2,2_2482018,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2018,8,24,1,1
2,2_2072019,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2019,7,20,0.44,4
2,2_272020,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2020,7,2,0.67,3
2,2_1542021,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2021,4,15,0.56,3
2,2_3062021,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2021,6,30,0.67,3
2,2_742022,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2022,4,7,0.78,2
2,2_372022,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2022,7,3,0.67,3
2,2_3132023,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2023,3,31,0.56,3
2,2_372023,greece,Alfeios Diversion Canal,37.36144199,22.09469877,2023,7,3,0.777777778,2
6,6_792012,greece,Axios,40.657406,22.697451,2012,9,7,0.379,4
6,6_542013,greece,Axios,40.657406,22.697451,2013,4,5,0.282,4
6,6_872013,greece,Axios,40.657406,22.697451,2013,7,8,0.425,4
6,6_2242014,greece,Axios,40.657406,22.697451,2014,4,22,0.08,5
6,6_2152018,greece,Axios,40.657406,22.697451,2018,5,21,0.8,2
6,6_3102018,greece,Axios,40.657406,22.697451,2018,10,3,0.18,5
6,6_1752019,greece,Axios,40.657406,22.697451,2019,5,17,0.51,4
6,6_2372019,greece,Axios,40.657406,22.697451,2019,7,23,0.37,4
6,6_1472020,greece,Axios,40.657406,22.697451,2020,7,14,0.388489785,4
6,6_2552021,greece,Axios,40.657406,22.697451,2021,5,25,0.402761905,3
6,6_2272021,greece,Axios,40.657406,22.697451,2021,7,22,0.41,4
6,6_1242022,greece,Axios,40.657406,22.697451,2022,4,12,0.31,5
6,6_1372022,greece,Axios,40.657406,22.697451,2022,7,13,0.42,4
6,6_1452023,greece,Axios,40.657406,22.697451,2023,5,14,0.39,4
6,6_592023,greece,Axios,40.657406,22.697451,2023,9,5,0.35,5
7,7_542013,greece,Axios,40.52782545,22.71522152,2013,4,5,0.596,3
7,7_872013,greece,Axios,40.52782545,22.71522152,2013,7,8,0.534,3
7,7_2442014,greece,Axios,40.52782545,22.71522152,2014,4,24,0.376,4
7,7_2152018,greece,Axios,40.52782545,22.71522152,2018,5,21,0.66,3
7,7_3102018,greece,Axios,40.52782545,22.71522152,2018,10,3,0.27,5
7,7_1752019,greece,Axios,40.52782545,22.71522152,2019,5,17,0.48,4
7,7_2272019,greece,Axios,40.52782545,22.71522152,2019,7,22,0.38,4
7,7_1472020,greece,Axios,40.52782545,22.71522152,2020,7,14,0.4,4
7,7_2072021,greece,Axios,40.52782545,22.71522152,2021,7,20,0.4,4
7,7_1752022,greece,Axios,40.52782545,22.71522152,2022,5,17,0.38,4
7,7_1472022,greece,Axios,40.52782545,22.71522152,2022,7,14,0.39,4
7,7_892023,greece,Axios,40.52782545,22.71522152,2023,9,8,0,5
8,8_492012,greece,Axios,40.895188,22.615196,2012,9,4,0.43,4
8,8_1042013,greece,Axios,40.895188,22.615196,2013,4,10,0.455,4
8,8_872013,greece,Axios,40.895188,22.615196,2013,7,8,0.565,3
8,8_2142014,greece,Axios,40.895188,22.615196,2014,4,21,0.383,4
8,8_1852018,greece,Axios,40.895188,22.615196,2018,5,18,0.71,3
8,8_4102018,greece,Axios,40.895188,22.615196,2018,10,4,0.47,4
8,8_1752019,greece,Axios,40.895188,22.615196,2019,5,17,0.53,3
8,8_2572019,greece,Axios,40.895188,22.615196,2019,7,25,0.56,3
8,8_1272020,greece,Axios,40.895188,22.615196,2020,7,12,0.642052691,3
8,8_2552021,greece,Axios,40.895188,22.615196,2021,5,25,0.58,3
8,8_2992021,greece,Axios,40.895188,22.615196,2021,9,29,0.44,4
8,8_1242022,greece,Axios,40.895188,22.615196,2022,4,12,0.35,4
8,8_1272022,greece,Axios,40.895188,22.615196,2022,7,12,0.45,4
8,8_1552023,greece,Axios,40.895188,22.615196,2023,5,15,0.49,4
8,8_692023,greece,Axios,40.895188,22.615196,2023,9,6,0.483188304,4
14,14_272012,greece,Pamisos,37.16907112,22.02451204,2012,7,2,0.778,2
14,14_1242013,greece,Pamisos,37.16907112,22.02451204,2013,4,12,0.556,3
14,14_2972013,greece,Pamisos,37.16907112,22.02451204,2013,7,29,0.778,2
