"Unique.ID","Samp.ID","Sampling.date","year","month","day","AGAPETINAE GEN. SP.","ANCYLUS FLUVIATILIS","ASELLIDAE GEN. SP.","ATHERIX IBIS","ATRICHOPS CRASSIPES","BAETIDAE GEN. SP.","BRACHYPTERA SP.","CAENIS SP.","CALOPTERYX SP.","CERACLEA SP.","CERATOPOGONIDAE GEN. SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORBICULA SP.","CORIXIDAE GEN. SP.","DENDROCOELUM SP.","DOLICHOPODIDAE GEN. SP.","DREISSENA POLYMORPHA","DRYOPS SP.","DUGESIA SP.","ELMIS SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","FERRISSIA CLESSINIANA","GALBA TRUNCATULA","GAMMARIDAE GEN. SP.","GLOSSIPHONIA SP.","GOERIDAE GEN. SP.","GOMPHUS SP.","GYRAULUS SP.","HALIPLUS SP.","HEMIMYSIS SP.","HEPTAGENIA SP.","HIPPEUTIS COMPLANATUS","HYDRA SP.","HYDRACHNIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILA SP.","HYPANIA INVALIDA","LEPIDOPTERA GEN. SP.","LEPIDOSTOMA HIRTUM","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMONIIDAE GEN. SP.","MACRONYCHUS QUADRITUBERCULATUS","MENETUS DILATATUS","MYSTACIDES SP.","NEMATODA GEN. SP.","NEMERTEA GEN. SP.","NEMOURA SP.","NEURECLIPSIS BIMACULATA","OECETIS SP.","OLIGOCHAETA GEN. SP.","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","OXYETHIRA SP.","PHYSELLA ACUTA","PISCICOLA GEOMETRA","PISIDIUM SP.","PLATAMBUS MACULATUS","PLATYCNEMIS SP.","POLYCELIS SP.","POLYCENTROPUS FLAVOMACULATUS SSP.","POTAMANTHUS LUTEUS","POTAMOPYRGUS ANTIPODARUM","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","RADIX AURICULARIA","RHYACOPHILA SP.","RIOLUS SP.","SERRATELLA IGNITA","SETODES SP.","SIALIS SP.","SIMULIIDAE GEN. SP.","SPHAERIUM CORNEUM","STRATIOMYIDAE GEN. SP.","THEODOXUS FLUVIATILIS SSP.","TIPULIDAE GEN. SP.","VALVATA SP."
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-18.03.1999","18.03.1999",1999,3,18,0,0,6,0,0,0,0,0,0,0,2,0,316,0,8,0,0,0,0,0,40,2,0,0,10,24,0,0,3538,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,222,0,0,0,2,2,6,0,0,2,0,2,0,2,0,0,0,0,0,0,0,6,0,0,0,2,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-15.02.2000","15.02.2000",2000,2,15,0,0,2,1,0,2,0,0,2,0,0,0,71,0,0,0,0,0,0,0,8,0,0,0,1,2,0,0,3918,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,4,1,0,3,0,0,0,0,2,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-15.02.2001","15.02.2001",2001,2,15,0,0,2,2,0,6,0,0,0,0,0,0,29,0,0,0,6,0,0,1,18,0,0,0,0,2,0,0,3427,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,6,0,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-27.02.2002","27.02.2002",2002,2,27,0,0,0,0,0,1,0,0,0,0,0,0,426,0,0,0,1,3,0,0,11,1,0,0,0,2,0,0,634,0,0,0,0,0,0,8,0,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,3,0,0,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-23.04.2003","23.04.2003",2003,4,23,0,0,0,0,0,1,0,0,0,0,1,0,711,0,0,0,2,0,0,0,219,0,0,0,1,0,0,0,30630,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-26.02.2004","26.02.2004",2004,2,26,0,0,6,1,0,1,0,0,3,0,0,0,109,0,90,5,3,0,0,0,0,0,0,3,1,1,0,0,2163,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,601,0,0,0,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-24.02.2005","24.02.2005",2005,2,24,0,0,0,2,0,1,0,0,0,0,0,0,88,0,121,1,0,0,0,0,4,0,0,0,0,0,1,0,3240,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,4,3,0,0,149,0,0,0,0,0,18,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,1,0,0,0,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-22.02.2006","22.02.2006",2006,2,22,0,0,0,0,0,1,0,0,0,0,1,0,261,0,65,0,1,0,0,0,7,0,0,0,0,4,0,0,7969,0,0,2,1,0,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,140,0,0,1,0,3,2,0,0,0,0,0,12,1,0,0,0,0,0,0,0,2,0,0,6,0,0
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-27.02.2007","27.02.2007",2007,2,27,0,0,0,0,3,2,1,2,1,0,0,1,73,13,305,0,0,0,0,0,61,13,1,1,1,8,0,0,19922,0,0,1,1,0,0,51,0,4,1,13,12,0,0,4,0,0,4,0,2,0,0,0,13,0,0,4,80,0,3,0,0,1,1,0,0,0,0,3,1,0,3,0,0,2,0,1,0,13,0,0,64,1,1
"FRA_014_MZB_LO_1","FRA_014_MZB_LO_1-05.02.2008","05.02.2008",2008,2,5,0,0,2,0,0,4,0,0,0,0,0,0,293,0,2,0,0,0,0,0,9,0,0,0,0,0,0,1,2926,0,0,0,0,0,0,20,0,27,1,5,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,36,1,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,29,0,0,0,4,0
