"Unique.ID","Samp.ID","Sampling.date","year","month","day","ACILIUS CANALICULATUS","AESHNA CYANEA","AGABUS SP.","AGAPETUS SP.","ALLOTRICHIA PALLICORNIS","AMPHINEMURA SP.","AMPULLACEANA BALTHICA","ANACAENA GLOBULUS","ANACAENA LUTESCENS","APHELOCHEIRUS AESTIVALIS","AQUARIUS PALUDUM PALUDUM","ASELLUS AQUATICUS","ATHERIX IBIS","ATRICHOPS CRASSIPES","BAETIDAE GEN. SP.","BERAEODES MINUTUS","BRACHYCENTRUS MACULATUS","BRACHYCENTRUS SUBNUBILUS","BRACHYPTERA SP.","CAENIS SP.","CALOPTERYX SP.","CALOPTERYX SPLENDENS","CERATOPOGONIDAE GEN. SP.","CHEUMATOPSYCHE LEPIDA","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORBICULA SP.","CORDULEGASTER BOLTONII","CRENOBIA ALPINA","DENDROCOELUM LACTEUM","DERONECTES LATUS","DICRANOTA SP.","DICTYOGENUS SP.","DIXA SP.","DOLICHOPODIDAE GEN. SP.","DUGESIA SP.","ECDYONURUS SP.","ELECTROGENA UJHELYII","ELMIS SP.","ELODES SP.","EMPIDIDAE GEN. SP.","EPEORUS ASSIMILIS","EPHEMERA SP.","EPHEMERELLA MUCRONATA","EPHEMERELLA NOTATA","EPHYDATIA FLUVIATILIS","ERPOBDELLIDAE GEN. SP.","ESOLUS SP.","GALBA TRUNCATULA","GAMMARUS SP.","GERRIS LACUSTRIS","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMA SP.","GOERIDAE GEN. SP.","GOMPHUS VULGATISSIMUS","HAEMOPIS SANGUISUGA","HALIPLUS SP.","HELOCHARES LIVIDUS","HELOPHORUS FLAVIPES/OBSCURUS","HEPTAGENIA SP.","HYDRA SP.","HYDRAENA SP.","HYDROBIUS FUSCIPES","HYDROPSYCHE SP.","HYDROPTILA SP.","IBISIA MARGINATA","ISOPERLA SP.","ITHYTRICHIA LAMELLARIS","LACCOBIUS STRIATULUS","LEPIDOSTOMA BASALE","LEPIDOSTOMA HIRTUM","LEPTOCERIDAE GEN. SP.","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIBELLULA DEPRESSA","LIBELLULA FULVA","LIMNEPHILIDAE GEN. SP.","LIMNIUS SP.","LIMNOPHORA SP.","LIMONIIDAE GEN. SP.","LIPONEURA BREVIROSTRIS/DECIPIENS/VIMMERI","LIPONEURA DECIPIENS","LIPONEURA VIMMERI","LISPE SP.","LYPE SP.","MICRASEMA LONGULUM","MICRASEMA MINIMUM","MICRONECTA SP.","NEBRIOPORUS ELEGANS","NECTOPORUS SANMARKII","NEMOURA SP.","NEPA CINEREA","NIPHARGUS SP.","NOTIDOBIA CILIARIS","NOTONECTIDAE GEN. SP.","ODELES MARGINATA","ODONTOCERUM ALBICORNE","OECISMUS MONEDULA MONEDULA","OLIGOCHAETA GEN. SP.","OLIGONEURIELLA RHENANA","ORCONECTES LIMOSUS","ORECTOCHILUS VILLOSUS","OULIMNIUS SP.","PEDICIA SP.","PERLIDAE GEN. SP.","PERLODES SP.","PHILOPOTAMUS MONTANUS MONTANUS","PHYSA FONTINALIS","PHYSELLA SP.","PISCICOLA GEOMETRA","PISIDIUM SP.","PLANORBIDAE GEN. SP.","PLATAMBUS MACULATUS","PLATYCNEMIS PENNIPES","POLYCELIS SP.","POLYCENTROPODIDAE GEN. SP.","POTAMOPYRGUS ANTIPODARUM","PROASELLUS COXALIS","PROTONEMURA SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIA PUSILLA","PTYCHOPTERIDAE GEN. SP.","RADIX SP.","RANATRA LINEARIS","RHITHROGENA SP.","RHYACOPHILA SP.","SERICOSTOMA SP.","SERRATELLA IGNITA","SIALIS FULIGINOSA","SIALIS LUTARIA","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","SPHAERIUM SP.","STAGNICOLA SP.","STRATIOMYIDAE GEN. SP.","SYRPHIDAE GEN. SP.","TABANIDAE GEN. SP.","THEODOXUS FLUVIATILIS SSP.","TINODES SP.","TIPULIDAE GEN. SP.","TORLEYA MAJOR","TURBELLARIA GEN. SP.","UNIO SP.","VELIA SP.","WORMALDIA SP.","ZYGOPTERA GEN. SP."
"GER_047_MZB_LO_12","GER_047_MZB_LO_12-17.03.2005","17.03.2005",2005,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,30,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,6,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_12","GER_047_MZB_LO_12-27.04.2012","27.04.2012",2012,4,27,0,0,0,0,0,0,0,6,0,0,0,0,0,0,256,0,0,0,0,0,0,0,49,0,2523,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,24,0,0,880,0,1,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,122,205,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_12","GER_047_MZB_LO_12-25.04.2014","25.04.2014",2014,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,42,0,242,0,0,0,0,0,0,30,0,0,0,143,0,0,80,0,0,0,0,0,0,0,24,0,0,714,0,73,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,6,0,0,0,0,0,0,0,1548,43,0,0,0,0,7168,109,0,0,0,0,0,0,0,2,1,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_12","GER_047_MZB_LO_12-14.04.2017","14.04.2017",2017,4,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,5,0,207,0,0,0,0,0,0,9,0,0,0,0,0,0,185,8,0,0,0,0,0,0,15,0,0,360,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,80,2,0,0,0,0,800,15,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_12","GER_047_MZB_LO_12-15.04.2019","15.04.2019",2019,4,15,0,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,0,0,0,0,3,3,0,0,86,0,0,0,0,0,0,0,0,0,0,30,0,0,21,6,0,0,0,0,0,0,8,0,1,140,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,24,12,0,0,0,2,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_13","GER_047_MZB_LO_13-24.03.2005","24.03.2005",2005,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,33,0,0,0,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"GER_047_MZB_LO_13","GER_047_MZB_LO_13-25.04.2008","25.04.2008",2008,4,25,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1431,0,0,0,0,0,0,0,12,0,80,0,0,0,0,0,0,6,0,0,6,25,0,6,72,51,0,0,0,0,0,0,30,0,0,2641,0,1,0,0,0,0,6,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,6,0,0,0,0,0,0,0,20,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0
"GER_047_MZB_LO_13","GER_047_MZB_LO_13-14.04.2014","14.04.2014",2014,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,24,0,0,0,160,0,2,126,42,0,6,0,0,0,0,8,0,0,2167,0,0,0,0,0,1,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,266,0,0,0,0,6,0,0,0,0,0,0,24,1,0,0,0,0,768,0,0,0,0,0,0,0,12,1,0,0,0,0,15,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0
"GER_047_MZB_LO_13","GER_047_MZB_LO_13-10.04.2017","10.04.2017",2017,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,15,0,0,0,42,0,70,15,105,0,0,0,0,0,0,12,0,0,350,0,1,0,2,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,55,5,0,0,0,0,0,0,0,25,0,2,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GER_047_MZB_LO_13","GER_047_MZB_LO_13-15.04.2019","15.04.2019",2019,4,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,130,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,2,0,0,0,14,0,0,11,35,0,0,0,0,0,0,7,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
