"Unique.ID","Samp.ID","Sampling.date","year","month","day","ADICELLA SP.","ANCYLUS FLUVIATILIS","ANTHOMYIIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATHRIPSODES SP.","BAETIDAE GEN. SP.","BERAEA SP.","BLEPHARICERIDAE GEN. SP.","BOYERIA IRENE","BRACHYPTERA ARCUATA","CAENIS SP.","CALOPTERYX SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORDULEGASTER SP.","CORIXIDAE GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DRUNELLA PARADINASI","DRYOPS SP.","DUGESIA SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","ERPOBDELLIDAE GEN. SP.","GERRIS SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIUS SP.","GYRINIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HYDRAENA SP.","HYDROMETRA SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MICRASEMA SP.","MYSTACIDES AZUREA","NEMOURIDAE GEN. SP.","NEPA CINEREA","NOTONECTA SP.","OLIGOCHAETA GEN. SP.","ONYCHOGOMPHUS SP.","PACIFASTACUS LENIUSCULUS","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMUS SP.","PHYSIDAE GEN. SP.","PISIDIUM SP.","PLANARIIDAE GEN. SP.","PLATYCNEMIS SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILA SP.","SCIRTIDAE GEN. SP.","SERICOSTOMA SP.","SERRATELLA SP.","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","TABANIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","THREMMA SP.","TIPULIDAE GEN. SP.","VELIIDAE GEN. SP.","WORMALDIA SP."
"ESP_060_MZB_LO_12","ESP_060_MZB_LO_12-21.08.2020","21.08.2020",2020,8,21,0,0,16,0,0,312,0,0,0,0,0,0,0,8,392,0,1,0,0,0,0,0,0,16,64,0,0,0,4,0,2,0,0,0,0,69,0,0,0,26,0,0,40,304,0,12,0,16,0,64,0,0,0,0,0,33,0,0,0,8,0,0,0,16,0,9,28,16,61,48,0,240,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_12","ESP_060_MZB_LO_12-31.08.2021","31.08.2021",2021,8,31,0,0,8,9,0,128,0,0,1,0,0,0,0,0,328,0,0,0,8,0,0,0,0,24,96,0,0,0,6,0,0,0,0,2,0,48,16,0,0,27,0,0,8,280,3,66,0,24,0,24,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,10,32,46,0,0,224,0,0,0,0,0,0,2,0
"ESP_060_MZB_LO_12","ESP_060_MZB_LO_12-23.08.2022","23.08.2022",2022,8,23,0,16,16,9,0,184,0,0,4,0,0,0,0,0,264,0,0,0,0,0,0,0,0,8,40,0,0,0,2,0,8,24,0,0,0,59,0,0,0,55,0,0,0,360,3,26,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,10,24,19,0,0,200,0,0,0,0,0,0,3,0
"ESP_060_MZB_LO_12","ESP_060_MZB_LO_12-30.08.2023","30.08.2023",2023,8,30,0,8,8,9,0,288,0,0,3,0,0,0,0,8,480,0,1,0,0,0,0,0,0,0,16,8,0,0,2,0,16,0,0,0,0,42,0,0,0,75,0,0,24,160,1,1,0,32,0,16,0,0,0,0,0,36,0,0,0,0,8,0,0,0,0,0,9,24,92,0,0,72,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_12","ESP_060_MZB_LO_12-27.08.2024","27.08.2024",2024,8,27,0,0,9,1,0,104,0,0,8,0,0,0,0,8,288,0,1,0,8,0,0,0,0,0,64,0,0,0,3,0,24,0,0,0,0,42,16,0,0,49,0,0,8,224,4,0,0,8,0,64,0,0,0,0,0,19,0,0,0,16,0,0,0,0,0,9,18,32,30,0,0,16,0,0,2,0,0,0,6,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-28.08.2014","28.08.2014",2014,8,28,0,0,0,52,0,48,0,0,0,0,0,0,0,0,344,0,10,0,8,0,0,0,0,33,88,0,3,0,9,0,8,16,0,0,0,96,0,0,0,27,0,16,24,536,11,8,0,24,0,0,0,0,0,0,0,9,0,0,0,16,0,0,0,0,0,9,10,24,248,8,0,32,0,0,8,0,0,1,0,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-19.08.2015","19.08.2015",2015,8,19,0,0,0,116,0,240,0,0,0,0,0,0,0,0,448,0,1,0,0,0,0,0,0,8,288,0,0,0,0,0,0,32,0,0,8,96,0,0,0,340,0,32,32,705,18,17,0,0,0,0,0,0,0,0,0,19,0,0,0,32,0,0,0,0,0,1,0,48,395,16,1,160,0,0,0,0,0,1,0,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-23.06.2016","23.06.2016",2016,6,23,0,0,0,10,0,450,0,0,0,0,0,0,0,0,120,0,9,0,0,0,0,0,0,16,224,0,1,0,0,0,0,32,0,0,56,72,8,0,16,33,0,0,0,168,180,108,0,32,0,16,0,0,0,0,0,44,0,0,0,8,8,0,0,16,0,0,1,40,254,81,0,144,0,8,16,0,0,0,1,0
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-10.08.2017","10.08.2017",2017,8,10,0,0,0,27,0,100,0,0,0,0,0,0,0,0,570,0,17,0,0,0,0,0,0,16,154,0,0,0,9,0,0,0,0,0,8,88,8,0,8,68,0,8,8,428,10,0,0,0,0,24,0,1,0,0,0,70,0,0,0,8,0,0,0,0,0,10,17,40,110,104,0,18,0,0,0,0,0,0,0,8
"ESP_060_MZB_LO_13","ESP_060_MZB_LO_13-21.06.2018","21.06.2018",2018,6,21,0,0,0,51,0,318,0,16,0,0,0,0,0,16,344,0,2,0,24,0,0,0,0,16,192,0,0,0,7,0,0,24,0,0,8,124,24,0,0,24,0,0,24,440,115,75,0,48,0,0,0,0,0,0,0,22,0,0,0,8,8,0,0,16,0,11,19,0,123,91,0,128,0,24,0,0,0,0,8,0
