"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"Germany","HLNUG (via Thomas Wanke)","new data call","GER_047_MZB_LO",1,"HE_10290","GER_047_MZB_LO_14","Wisper",50.0749885813932,7.86615452062122,2005,2020,16,6,0
"Germany","HLNUG (via Thomas Wanke)","second data call; new data","GER_047_MZB_LO",1,"10290","GER_047_MZB_LO_1","Wisper",50.074989,7.866154,2005,2022,18,7,0.057594792217122
"Germany","HLNUG (via Thomas Wanke)","new data call","GER_047_MZB_LO",2,"HE_11054","GER_047_MZB_LO_22","Jossa",50.2573688461929,9.55851592545696,2007,2020,14,8,0
"Germany","HLNUG (via Thomas Wanke)","second data call; new data","GER_047_MZB_LO",2,"11054","GER_047_MZB_LO_2","Jossa",50.257369,9.558516,2007,2020,14,8,0.0173004035191852
"Germany","HLNUG (via Thomas Wanke)","second data call; new data","GER_047_MZB_LO",2,"12195","GER_047_MZB_LO_5","Jossa",50.257052,9.558989,2016,2020,5,5,47.1132333747451
"Germany","HLNUG (via Thomas Wanke)","new data call","GER_047_MZB_LO",3,"HE_11079","GER_047_MZB_LO_23","Orb",50.2238652385978,9.34955454395268,2007,2020,14,6,0
"Germany","HLNUG (via Thomas Wanke)","second data call; new data","GER_047_MZB_LO",3,"11079","GER_047_MZB_LO_3","Orb",50.223865,9.349554,2007,2020,14,6,0.0454093288724702
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",1,"NRW_100067","GER_070_MZB_LO_4","Rur",50.5206259892791,6.20580470820636,2006,2018,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",1,"NRW_100092","GER_070_MZB_LO_5","Schwarzbach",50.5209870111656,6.20510611246302,2006,2019,14,5,61.5841487435053
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",3,"NRW_300603","GER_070_MZB_LO_217","Morsbach",51.2021325991977,7.16692184197875,2006,2019,14,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",3,"NRW_300652","GER_070_MZB_LO_219","Gelpe",51.2023020368173,7.16625662065656,2006,2019,14,5,48.4459642211694
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",5,"NRW_315448","GER_070_MZB_LO_268","Renne",51.3558919476019,6.27604793810075,2006,2019,14,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",5,"NRW_316520","GER_070_MZB_LO_274","Nette",51.3565662179305,6.27564879180894,2006,2019,14,5,77.2557505693991
