"name","taxon","aqem","gen","sp","spear_yes","spear_no","mod_holo","mod_mero","tachalt_low","tachalt_pie","tachalt_alt","tachaqua_egg","tachaqua_larva","tachaqua_nymph","tachaqua_adult","current_lib","current_lip","current_lrp","current_rlp","current_rhp","current_rhb","current_ind","tachcurr_null","tachcurr_slow","tachcurr_medium","tachcurr_fast","tachdisp_aquapass","tachdisp_aquaact","tachdisp_aerpass","tachdisp_aeract","tachfeed_abs","tachfeed_dpf","tachfeed_shr","tachfeed_scr","tachfeed_fif","tachfeed_pie","tachfeed_pre","tachfeed_par","feeding_gra","feeding_min","feeding_xyl","feeding_shr","feeding_gat","feeding_aff","feeding_pff","feeding_pre","feeding_par","feeding_oth","tachfood_mior","tachfood_detl1","tachfood_dpg1","tachfood_limi","tachfood_lima","tachfood_dag1","tachfood_lmic","tachfood_lmac","tachfood_vert","tachlifedur_less1","tachlifedur_gr1","tachloco_flr","tachloco_ssw","tachloco_wsw","tachloco_crw","tachloco_bur","tachloco_int","tachloco_tat","tachloco_pat","locomotion_sws","locomotion_swd","locomotion_bub","locomotion_spw","locomotion_ses","locomotion_oth","tachlongdist_cr","tachlongdist_er","tachlongdist_mr","tachlongdist_hr","tachlongdist_ep","tachlongdist_mp","tachlongdist_est","tachlongdist_out","tachsize_less0.25","tachsize_0.25to0.5","tachsize_0.5to1","tachsize_1to2","tachsize_2to4","tachsize_4to8","tachsize_gr8","microhab_arg","microhab_pel","microhab_psa","microhab_aka","microhab_lit","microhab_phy","microhab_pom","microhab_oth","tachph_less4","tachph_4to4.5","tachph_4.5to5","tachph_5to5.5","tachph_5.5to6","tachph_gr6","tachrepcyc_less1","tachrepcyc_one","tachrepcyc_gr1","tachrepro_ovo","tachrepro_fie","tachrepro_cie","tachrepro_fic","tachrepro_frc","tachrepro_vec","tachrepro_tec","tachrepro_ase","tachresist_egg","tachresist_coc","tachresist_hou","tachresist_did","tachresist_non","tachrespir_teg","tachrespir_gil","tachrespir_pls","tachrespir_spi","tachrespir_ves","tachsal_frw","tachsal_brw","tachsap_x","tachsap_o","tachsap_b","tachsap_a","tachsap_p","streamzone_euc","streamzone_hyc","streamzone_erh","streamzone_mrh","streamzone_hrh","streamzone_epo","streamzone_mpo","streamzone_hpo","streamzone_lit","streamzone_pro","tachsub_fbcp","tachsub_grvl","tachsub_sand","tachsub_silt","tachsub_macp","tachsub_micp","tachsub_twro","tachsub_odli","tachsub_mud","tachtemp_psy","tachtemp_the","tachtemp_eut","tachtransdist_rich","tachtransdist_bcsa","tachtransdist_ppdsa","tachtransdist_mapb","tachtransdist_tmpw","tachtransdist_lake","tachtransdist_gw","tachtroph_oli","tachtroph_meso","tachtroph_eu","adspan_less1wk","adspan_gr1wk","adspan_gr1mon","adspan_gr1yr","fmwing_less5","fmwing_5to10","fmwing_10to15","fmwing_15to20","fmwing_20to30","fmwing_30to40","fmwing_40to50","fmwing_gr50","wingpair_no","wingpair_1halt","wingpair_1hind","wingpair_1elhe","wingpair_2","fecund_less100","fecund_100to1000","fecund_1000to3000","fecund_gr3000","drift_rare","drift_occ","drift_freq"
"ACROLOXUS SP.","ACROLOXUS SP.",8857,"ACROLOXUS","SP.",0,1,1,0,3,0,0,3,0,0,3,0,1,0,0,0,0,0,3,2,0,0,2,1,0,0,0,0,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,10,0,0,0,0,1,2,3,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,1,2,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,1,0,1,2,2,0,0,0,0,0,1,2,2,1,4,0,1,0,0,0,5,2,0,2,3,0,0,3,0,1,3,0,0,0,0,0,3,2,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,2,2,0,0,3,0,0
"ACROPHYLAX ZERBERUS","ACROPHYLAX ZERBERUS",4207,"ACROPHYLAX","ZERBERUS",1,0,0,1,2.125,1.375,0.5,2.5,3,2.875,0,0,0,0,0,0,0,1,0.9375,2.0625,1.25,1.5,0.333333333333333,1.51851851851852,0,2.2962962962963,0,0.125,2.75,1,0,0,0.1875,0,2,0,0,6,0,0,0,2,0,0,0.0625,0.125,2.375,1.375,2.125,0,0.0625,0.5625,0,2.36,0.16,0,0,0,5,0,0,0,0,0,0,0,7,3,0,1.1875,2.8125,2.5625,1.25,0.5625,0.3125,0.125,1.375,0,0,0.407407407407407,2.40740740740741,1.2962962962963,0,0,0,2,1,0,5,2,0,0,0,0,1,2.2,2.46666666666667,2.93333333333333,0.166666666666667,3,0,0,0,0,1.875,0,0,0.5,0,0,0,0,1.1,2.1,2.375,2.125,0,0,0,3,0.125,1.3125,2.5625,1.8125,0.375,0,1,4,3,0,0,0,0,0,2,0,2.125,0.875,0.5625,0.0625,1.6875,0.1875,0.1875,1.75,0.3125,1.16666666666667,0,1.58333333333333,1.1875,1.125,0.75,0.5,0.625,1.0625,0,1.83333333333333,0.75,0.25,0,1.13333333333333,2.33333333333333,0,0,0.55,1.75,1.35,0.7,0,0,0,0,0,0,0,3,0.111111111111111,2.88888888888889,0,0,2.72727272727273,1.09090909090909,0.363636363636364
"ADICELLA REDUCTA","ADICELLA REDUCTA",4212,"ADICELLA","REDUCTA",1,0,0,1,3,1,0,3,3,3,0,0,0,0,1,0,0,0,1,3,1,0,1,1,1,2,0,0,3,3,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,7,3,0,4,3,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,8,2,0,1,2,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,3,0,2,3,2,0,0,0,0,0,5,5,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,1,0,2,0,0,2,0,0,3,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0.375,2.625,0,0,3,0,0
"ADICELLA SP.","ADICELLA SP.",8859,"ADICELLA","SP.",1,0,0,1,3,1,0,3,3,3,0,0,0,0,0,1,0,0,1,3,1,0,1,1,1,2,0,0,3,3,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,4,3,1,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,8,2,0,1,2,3,3,3,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,3,0,2,3,2,0,0,2.625,2.5,1.875,1.75,1.125,0.125,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,1,0,2,0,0,2,0,0,3,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0.375,2.625,0,0,3,0,0
"AESHNA CYANEA","AESHNA CYANEA",4222,"AESHNA","CYANEA",0,1,0,1,2,3,2,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,1,0,4,0,0,0,0,2,3,0,0,3,0,0,0,4,3,0,0,1,1,2,2,3,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0,3,1,0,1,3,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,2,3,2,0,0,3,0,1,2,2,0,3,0,1,3,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,1,0,3,0,0
"AESHNA GRANDIS","AESHNA GRANDIS",4223,"AESHNA","GRANDIS",0,1,0,1,2,3,2,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,1,0,4,0,0,0,0,2,3,0,0,2,0,0,0,6,2,0,0,1,1,2,2,3,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0,3,1,0,1,3,1,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,4,0,2,3,2,0,0,3,0,1,2,2,0,3,0,1,3,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,1,0,3,0,0
"AESHNA MIXTA","AESHNA MIXTA",4225,"AESHNA","MIXTA",0,1,0,1,2,3,2,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,1,0,4,0,0,0,0,2,3,0,0,2,0,0,0,8,0,0,0,1,1,2,2,3,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0,3,1,0,1,3,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,4,0,2,3,2,0,0,3,0,1,2,2,0,3,0,1,3,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,1,0,3,0,0
"AESHNA SP.","AESHNA SP.",4226,"AESHNA","SP.",0,1,0,1,2,3,2,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,1,3,0,0,0,5,0,0,0,0,0,4,0,6,0,0,0,1,0,0,1,1,0,4,0,0,0,0,2,3,0,0,3,0,0,0,5,2,0,0,1,1,2,2,3,3,1,0,0,2,0,0,0,3,3,0,2,0,0,1,0,1,3,0,0,0,3,1,0,1,3,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,4,0,2,3,2,0,0,3,0,1,2,2,0,3,0,1,3,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,1,0,3,0,0
"AESHNIDAE GEN. SP.","AESHNIDAE GEN. SP.",8438,"AESHNIDAE","GEN. SP.",0,1,0,1,2.66666666666667,1,0.333333333333333,1.83333333333333,3,0,0,0,1,0,0,0,0,0,2.16666666666667,0.666666666666667,0.333333333333333,0,0.888888888888889,0.666666666666667,0,2.77777777777778,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,4,1,0.444444444444444,2.88888888888889,0,0,0.333333333333333,4.83333333333333,0,0,0,0,0,4,0,6,0,0,0.333333333333333,0.5,0.166666666666667,0.166666666666667,0.5,0.333333333333333,0,4,0,0,0,0,1.88888888888889,1.77777777777778,0,0,2,0,0,0,6,1,1,0.166666666666667,0.333333333333333,1.33333333333333,2.5,2.33333333333333,2.33333333333333,2.44444444444444,0.888888888888889,0,0,0.333333333333333,0,0,0,3,0.833333333333333,0,0.666666666666667,0,0,0.666666666666667,2.33333333333333,1,3,0,0,0,3,0.333333333333333,0,0.833333333333333,2.16666666666667,0.666666666666667,0,0,0,0,0,0,0,1,0,9,0,0.666666666666667,0,0.166666666666667,0,2.33333333333333,0.333333333333333,1,2.66666666666667,0.666666666666667,0.166666666666667,0.5,2.66666666666667,0.333333333333333,1,1.83333333333333,1.16666666666667,0.833333333333333,1.83333333333333,0,1.33333333333333,1.5,0.333333333333333,0,1,2.2,0.6,0,0,0,0,0,0.6,2.2,0.4,0,0,0,0,3,0,2.33333333333333,0.666666666666667,0.333333333333333,3,0,0
"AFGHANURUS JOERNENSIS","AFGHANURUS JOERNENSIS",12534,"AFGHANURUS","JOERNENSIS",1,0,0,1,2.8,1.8,1.2,3,3,0,0,0,0,0,0,1,0,0,0.2,1.4,1.8,2,2.8,1.2,1,3,0,0.6,0.8,3,0,0,0,0,8.07142857142857,0,0,0,1.92857142857143,0,0,0,0,0,0.4,1.8,1.2,2.8,0.6,0,0,0,0,3,0.6,0,0,0.8,5,0,0.2,0,0,0,2,0,8,0,0,1,2.4,3,2.4,2,0.6,0,0.6,0,0,0.2,3,0,0,0,0.0135135135135135,0.108108108108108,0.135135135135135,0.635135135135135,8.06756756756757,0.662162162162162,0.0810810810810811,0.297297297297297,0.2,0.2,0.2,0.8,1.2,3,0.6,3,0,0,1,1.6,1.2,0,0,0,0,1.6,0,0,1,2.2,1,3,0,0,0,3,0,1.2,2.6,2.2,0.6,0,0,1,3,2,2,2,0,0,0,0,4.6,1,0.6,0.2,0.2,0,0.6,0.6,0.2,0.8,0.2,2.2,3.8,1.4,0,0,0,0.8,0,1.8,2.2,0.2,3,0,0,0,0,0.4,2.8,0.8,0,0,0,0,0,0,3,0,0,0,0.4,2.6,1.2,1.8,2,0.4
"AGABUS BIPUSTULATUS","AGABUS BIPUSTULATUS AD.",11642,"AGABUS","BIPUSTULATUS AD.",0,1,1,0,3,2,1,3,3,0,2,0,0,1,0,0,0,0,3,1,0,0,1,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,5,0,2,0,3,0,1,2,3,2,1,0,3,0,0,1,3,0,0,0,0,7,0,0,0,0,0,3,1,1,2,3,3,3,0,3,1,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,3,0,3,1,0,3,3,2,0,1,0,0,0,1,2,2,0,4,0,0,1,1,1,3,0,0,3,3,0,0,3,0,1,2,2,1,2,0,1,3,3,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,1,0
"AGABUS GUTTATUS","AGABUS GUTTATUS AD.",11647,"AGABUS","GUTTATUS AD.",0,1,1,0,3,2,1,3,3,0,2,0,0,0,0,1,0,0,3,1,0,0,1,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,7,0,0,0,3,0,1,2,3,2,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,10,0,0,1,1,2,3,3,3,0,3,1,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,3,0,3,1,0,3,3,2,0,5,3,0,1,1,0,0,0,0,0,0,1,1,1,3,0,0,3,3,0,0,3,0,1,2,2,1,2,0,1,3,3,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,1,0
"AGABUS SP.","AGABUS SP. AD.",11659,"AGABUS","SP. AD.",0,1,1,0,3,2,1,3,3,0,2,0,1,0,0,0,0,0,3,1,0,0,1,1,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,3,1,0,3,1,0,3,3,0,0,0,0,0,7,0,1,0,2,0,1,2,3,2,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,10,0,0,1,1,2,3,3,3,0,3,1,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,3,0,3,1,0,3,3,2,0,0.764705882352941,0.352941176470588,0.352941176470588,0.235294117647059,0.647058823529412,0.470588235294118,0.235294117647059,0,6.94117647058824,0,0,1,1,1,3,0,0,3,3,0,0,3,0,1,2,2,1,2,0,1,3,3,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,1,0
