"country","prov","origin","dataset","group","org.site","unique.id","river","latitude","longitude","yr.st","yr.ed","yr.ln","yr.num","distance"
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",1,"50766","ENG_041_MZB_LO_3449","Afon Tanat - conf Afon Rhaeadr to conf Afon Vyrnwy",52.798314,-3.1256779,1995,2004,10,9,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",1,"50766","ENG_062_MZB_LO_1786","TANAT",52.7982258573,-3.1250661494,2002,2024,23,22,40.978434577727
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",2,"33515","ENG_041_MZB_LO_3459","Lower Roding (Cripsey Bk to Loughton)",51.659411,0.23073615,1996,2015,20,19,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",2,"33515","ENG_062_MZB_LO_855","BOISHALL BROOK",51.6594142871,0.2307630128,2002,2015,14,13,1.82954806083055
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",3,"33731","ENG_041_MZB_LO_3460","Mimram (Whitwell to Codicote Bottom)",51.876986,-0.28126937,1994,2019,26,24,0
"England","Judy England","first call; data Ellen used","ENG_042_MZB_LO",3,"33731","ENG_042_MZB_LO_12","MIMRAM",51.876986,-0.281269,2002,2017,16,16,0.0246085553400317
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",3,"33731","ENG_062_MZB_LO_865","MIMRAM",51.876992611,-0.2812459343,2002,2024,23,23,1.71295510265894
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",4,"33750","ENG_041_MZB_LO_3461","Ver",51.793264,-0.39265934,1994,2019,26,25,0
"England","Judy England","first call; data Ellen used","ENG_042_MZB_LO",4,"33750","ENG_042_MZB_LO_21","VER",51.793264,-0.392659,2005,2017,13,13,0.0226546615520057
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",4,"33750","ENG_062_MZB_LO_866","VER",51.7932710798,-0.3926359025,2002,2023,22,22,1.73711222496606
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",5,"34011","ENG_041_MZB_LO_3462","Misbourne",51.578141,-0.51633675,1994,2018,25,21,0
"England","Judy England","first call; data Ellen used","ENG_042_MZB_LO",5,"34011","ENG_042_MZB_LO_17","MISBOURNE",51.578141,-0.516337,2005,2017,13,13,0.0167360415932417
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",5,"34011","ENG_062_MZB_LO_890","MISBOURNE",51.578142969,-0.5163164643,2002,2023,22,22,1.37438900301673
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",6,"34017","ENG_041_MZB_LO_3463","Beane (from confluence with Stevenage Brook to Lee)",51.861611,-0.11687346,1994,2019,26,26,0
"England","Judy England","first call; data Ellen used","ENG_042_MZB_LO",6,"34017","ENG_042_MZB_LO_2","BEANE",51.861611,-0.116873,1999,2017,19,19,0.030604705279438
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",6,"34017","ENG_062_MZB_LO_893","BEANE",51.8616176493,-0.1168469497,2002,2023,22,22,1.90301260863818
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",7,"34213","ENG_041_MZB_LO_3465","Rib (from confluence with Quin to Lee Navigation)",51.808157,-0.070028209,1994,2019,26,23,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",7,"34213","ENG_062_MZB_LO_939","RIB",51.808163549,-0.069999727,2002,2024,23,22,2.02348705486585
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",8,"34294","ENG_041_MZB_LO_3466","Misbourne",51.584912,-0.53929734,1994,2019,26,24,0
"England","Judy England","first call; data Ellen used","ENG_042_MZB_LO",8,"34294","ENG_042_MZB_LO_19","MISBOURNE",51.584912,-0.539297,2005,2017,13,13,0.0227576694375975
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",8,"34294","ENG_062_MZB_LO_954","MISBOURNE",51.5849142789,-0.5392775151,2002,2023,22,22,1.34936745780826
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",9,"34295","ENG_041_MZB_LO_3467","Misbourne",51.566538,-0.48928627,1994,2019,26,21,0
